StartDate,EndDate,Status,IPAddress,Progress,Duration (in seconds),Finished,RecordedDate,ResponseId,RecipientLastName,RecipientFirstName,RecipientEmail,ExternalReference,LocationLatitude,LocationLongitude,DistributionChannel,UserLanguage,PQ1,PQ2,PQ3,PQ4,PQ5,Q2,Q3,Q4,Q5,Q6,Q7,Q8,Q9,Q10,Q11,Q12,Q13,Q18,Q14,Q16,Q17,Q52,Q19_1,Q19_2,Q19_3,Q19_4,Q19_5,Q19_6,Q19_7,Q23,Q24,Q25,Q26#1_1,Q26#1_2,Q26#1_3,Q26#1_4,Q26#1_5,Q26#1_6,Q26#1_7,Q27,Q28,Q29,Q30,Q31,Q32,Q33#1_1,Q33#2_1,Q34#1_1,Q34#2_1,Q35#1_1,Q35#2_1,Q36_1,Q36_2,Q36_3,Q36_4,Q36_5,Q38_1,Q39_1,Q40_1,Q54,Q54_1,Q54_2,Q54_3,Q53_1,Q55_1,Q56_1,Q56_2,Q56_4,Q56_10,Q56_6,Q56_12,Q56_8,Q56_11,Q56_13,Q53,id,RandomID
2023-10-09 13:59:59,2023-10-09 14:08:46,IP Address,148.88.245.233,100,526,True,2023-10-09 14:08:46,R_30oVXmR0DC0E9UC,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,October,Female,168,A middle child (I had older and younger siblings),UK,"Midlands, England",GCSE grade A-C,12,Average,Average,30000,250,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,75,More than half the days,More than half the days,More than half the days,More than half the days,More than half the days,Several days,Not at all,4.6,4.3,5.37,1 day,7 days,3 days,7 days,7 days,2 days,0 days,13,911,271,17,5,Android,4,0,,,4,15,...,...,...,...,...,6,7,8,strongly disagreee,60,19,18,30,10,5,4,6,7,9,8,2,1,3,in imperial units alongside a metric equivalent?,,399376
2023-10-09 16:43:47,2023-10-09 16:58:32,IP Address,148.88.245.148,100,884,True,2023-10-09 16:58:33,R_2Y3wZvXWKwb08Vy,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,May,Female,157,The oldest of my siblings,UK,"Midlands, England",GCSE grade A-C,5,Average,A little below average,50000,380,Disagree,receive £100 for sure,lose £100 for sure,90,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,Prefer not to say,7,6.96,12.36,0 days,3 days,0 days,0 days,0 days,0 days,0 days,,98,116,,,Android,2,0,,,1,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,2,5,9,strongly agree,41,32,26,39,15,,,,,,,,,,in imperial units alongside a metric equivalent?,,747317
2023-10-09 13:32:43,2023-10-09 17:36:57,IP Address,148.88.245.109,100,14653,True,2023-10-09 17:36:57,R_22wReTcYtgsNMEu,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,August,Male,175,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,3,A little above the average,Average,30000,600,Strongly agree,receive £100 for sure,lose £100 for sure,95,More than half the days,Several days,More than half the days,Not at all,Not at all,Several days,Not at all,3.58,2.42,5.26,0 days,6 days,1 day,7 days,7 days,7 days,3 days,,223,176,0,5,iPhone,12,30,10,15,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,9,6,7,strongly agree,15,20,40,35,15,6,1,5,7,3,2,4,8,9,in imperial units alongside a metric equivalent?,,480448
2023-10-09 13:32:23,2023-10-09 21:51:59,IP Address,148.88.245.220,100,29975,True,2023-10-09 21:52:00,R_1DnY1ZH6ZIb74qU,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,December,Female,161,An only child,UK,"South East, England (inc. London)",GCSE grade A-C,9,Average,Well above average,35000,720,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,lose £100 for sure,90,Several days,Not at all,Not at all,Several days,Several days,Several days,Not at all,4,3,6,0 days,7 days,0 days,7 days,7 days,1 day,0 days,,832,565,,,iPhone,6,0,6,30,,,Strongly disagree,Strongly disagree,...,Strongly disagree,,5,5,5,strongly agree,62,51,35,55,36,,,,,,,,,,in imperial units alongside a metric equivalent?,,914186
2023-10-09 21:25:04,2023-10-09 22:56:09,IP Address,148.88.245.9,100,5465,True,2023-10-09 22:56:10,R_3qQDU4PCIAaW2Ji,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,166,An only child,UK,"South East, England (inc. London)",GCSE grade A-C,6,A little below average,Average,27000,150,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,30,Several days,More than half the days,More than half the days,Not at all,Several days,More than half the days,Several days,5.68,5.71,5.82,0 days,3 days,0 days,7 days,7 days,0 days,0 days,,555,648,,,iPhone,4,15,3,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,3,9,strongly agree,31,30,23,31,28,8,2,4,7,3,1,6,9,5,In imperial units?,,598781
2023-10-10 14:26:51,2023-10-10 14:43:41,IP Address,148.88.245.43,100,1010,True,2023-10-10 14:43:42,R_3h0dZPN9P6W20SQ,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,November,Female,164,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,15,Well below average,Average,33000,300,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,75,More than half the days,Several days,Nearly every day,Several days,Several days,Not at all,Nearly every day,5,3,5,5 days,7 days,3 days,7 days,7 days,3 days,0 days,120,631,2332,41,593,iPhone,6,0,7,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,5,6,7,strongly agree,40,20,25,15,5,6,1,7,5,9,8,2,3,4,in imperial units alongside a metric equivalent?,,377407
2023-10-10 22:56:46,2023-10-10 23:15:28,IP Address,148.88.245.124,100,1121,True,2023-10-10 23:15:29,R_3GlccjlYbwMLD5t,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,February,Female,166,An only child,UK,"North West, England",A-Level Grade A* / A,13,A little above the average,Average,32000,133,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,97,Nearly every day,Several days,More than half the days,Nearly every day,Nearly every day,Several days,Not at all,6,4,8,3 days,7 days,1 day,7 days,7 days,2 days,0 days,15,658,725,7,121,iPhone,6,0,5,15,,,...,Strongly disagree,..,Strongly disagree,,7,9,3,strongly agree,54,15,32,19,7,7,1,3,8,5,4,2,6,9,in imperial units alongside a metric equivalent?,,159118
2023-10-11 14:19:58,2023-10-11 14:39:15,IP Address,148.88.245.250,100,1156,True,2023-10-11 14:39:16,R_2SjeBBW4UBX9nbL,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,June,Female,155,The oldest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,5,A little above the average,Well above average,53000,185,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,92,Not at all,Not at all,Several days,Several days,More than half the days,Several days,Not at all,4.4,4.36,6.39,0 days,7 days,0 days,0 days,4 days,7 days,0 days,,10,40,,,iPhone,6,30,3,45,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,...,1,0,0,strongly agree,60,36,59,34,12,5,1,2,6,4,3,7,8,9,in imperial units alongside a metric equivalent?,,182270
2023-10-11 14:24:13,2023-10-11 14:40:07,IP Address,148.88.245.251,100,954,True,2023-10-11 14:40:08,R_1LkekUvB978flO9,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,168,The oldest of my siblings,UK,"Midlands, England",GCSE grade A-C,14,A little above the average,Average,40000,200,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Nearly every day,Several days,Several days,Not at all,Several days,Several days,Several days,6.7,5.3,8.0,6 days,7 days,0 days,5 days,7 days,2 days,0 days,18,174,215,,,Android,3,15,,,2,30,Strongly disagree,...,..,Strongly disagree,Strongly agree,7,7,6,strongly agree,43,15,15,20,7,1,2,6,4,7,3,9,5,8,in imperial units alongside a metric equivalent?,,176201
2023-10-11 14:28:13,2023-10-11 14:49:18,IP Address,148.88.245.255,100,1265,True,2023-10-11 14:49:19,R_2V93tslf56Xmplg,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,October,Female,157,An only child,UK,"North East, England",GCSE grade A-C,0,Average,Average,25000,150,Agree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,85,Several days,Several days,Several days,Several days,Several days,Several days,More than half the days,3.29,2.97,4,5 days,7 days,4 days,7 days,7 days,7 days,5 days,101,280,4076,13,401,iPhone,6,30,8,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,7,4,8,strongly agree,35,15,40,25,15,1,4,7,6,8,3,5,2,9,in imperial units alongside a metric equivalent?,,893698
2023-10-11 14:28:40,2023-10-11 14:49:43,IP Address,148.88.245.147,100,1263,True,2023-10-11 14:49:44,R_1HhKnd3HCC7yv0I,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,July,Female,165,The youngest of my siblings,UK,"South East, England (inc. London)",AS-Level,9,A little below average,Average,25000,200,Agree,receive £100 for sure,lose £100 for sure,75,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,More than half the days,Nearly every day,5.13,3.3,6.49,3 days,7 days,0 days,6 days,7 days,2 days,0 days,4,247,366,,,iPhone,8,30,7,0,,,..,..,..,..,..,5,3,8,strongly agree,35,11,30,30,10,3,4,9,6,8,1,5,2,7,in imperial units alongside a metric equivalent?,,325310
2023-10-11 14:49:14,2023-10-11 15:00:08,IP Address,148.88.245.145,100,654,True,2023-10-11 15:00:10,R_2fCZCurZeL1rYxz,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,July,Female,178,The oldest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,5,Well below average,Average,35000,325,Disagree,receive £100 for sure,lose £100 for sure,60,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,4.88,3.15,5.78,1 day,7 days,0 days,7 days,7 days,5 days,0 days,0,1212,1202,,,iPhone,9,15,8,0,,,Strongly agree,Strongly agree,Strongly agree,Strongly agree,Strongly agree,0,6,9,strongly agree,70,60,50,20,15,4,1,5,6,7,8,2,9,3,in imperial units alongside a metric equivalent?,,583633
2023-10-11 14:25:58,2023-10-11 16:14:12,IP Address,104.28.89.71,100,6494,True,2023-10-11 16:14:13,R_1n6GXisjWp1KuDV,,,,,51.5088,-0.093,anonymous,EN,Yes,Yes,Yes,Yes,Yes,20,November,Female,165,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,5,Well below average,A little above the average,26000,250,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,80,More than half the days,Not at all,Several days,Nearly every day,More than half the days,Several days,Several days,6,4,7,1 day,5 days,0 days,0 days,3 days,6 days,0 days,0,381,280,,,iPhone,5,15,5,15,,,Strongly agree,,...,...,...,7,1,8,strongly agree,30,19,40,45,8,1,2,3,4,5,6,7,8,9,in imperial units alongside a metric equivalent?,,499690
2023-10-11 16:15:13,2023-10-11 16:24:15,IP Address,104.28.89.71,100,542,True,2023-10-11 16:24:16,R_2YhUcvXQKq14wZJ,,,,,51.5088,-0.093,anonymous,EN,Yes,Yes,Yes,Yes,Yes,20,November,Female,165,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,5,Well below average,A little above the average,26000,250,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,80,More than half the days,Not at all,Several days,More than half the days,More than half the days,Not at all,Several days,6,4,7,1 day,5 days,0 days,0 days,4 days,6 days,0 days,0,383,280,,,iPhone,5,15,5,15,,,...,...,...,...,Strongly agree,7,1,8,strongly agree,29,19,41,45,8,1,2,3,4,5,6,7,8,9,in imperial units alongside a metric equivalent?,,775944
2023-10-11 16:39:41,2023-10-11 17:06:44,IP Address,148.88.245.145,100,1623,True,2023-10-11 17:06:45,R_31aN2IUAPQ4fcti,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,February,Female,155,The oldest of my siblings,UK,"North West, England",GCSE grade A-C,5,Average,Average,30000,450,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,35,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,Not at all,4.91,3.62,4.57,7 days,7 days,0 days,0 days,4 days,2 days,0 days,318,346,698,,,Android,6,30,,,7,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,9,4,7,strongly agree,41,30,39,15,20,,,,,,,,,,In imperial units?,,539954
2023-10-11 17:16:40,2023-10-11 17:40:14,IP Address,148.88.245.254,100,1413,True,2023-10-11 17:40:15,R_3iWkYW7SffginiU,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,30,September,Male,185,The youngest of my siblings,UK,"North East, England",GCSE grade A-C,5,A little above the average,Average,22000,250,Strongly disagree,receive £100 for sure,lose £100 for sure,50,Several days,Several days,More than half the days,More than half the days,Nearly every day,More than half the days,Not at all,6,5,7,0 days,0 days,0 days,0 days,0 days,7 days,0 days,,,,,,iPhone,10,0,17,0,,,Strongly disagree,,...,,,2,8,3,strongly agree,20,8,25,18,4,4,1,5,6,7,2,8,3,9,in imperial units alongside a metric equivalent?,,788824
2023-10-11 17:40:35,2023-10-11 17:49:44,IP Address,148.88.245.254,100,549,True,2023-10-11 17:49:45,R_0fFXaqkLJxoEVvX,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,30,September,Male,185,The youngest of my siblings,UK,"North East, England",GCSE grade A-C,5,A little above the average,Average,22000,225,Strongly disagree,receive £100 for sure,lose £100 for sure,50,Several days,Several days,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,6,5,7,0 days,0 days,0 days,0 days,0 days,7 days,0 days,,,,,,iPhone,10,0,18,0,,,Strongly disagree,Strongly disagree,,Strongly disagree,,2,7,3,strongly agree,21,8,25,20,4,1,4,5,6,7,2,8,3,9,in imperial units alongside a metric equivalent?,,555397
2023-10-11 14:29:17,2023-10-11 19:01:45,IP Address,148.88.245.135,100,16348,True,2023-10-11 19:01:46,R_1OxBatiflP1c2KR,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,178,The youngest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,8,A little above the average,Average,75000,350,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Several days,Several days,Not at all,Several days,Not at all,More than half the days,Not at all,6,4.1,6.8,0 days,6 days,1 day,7 days,7 days,5 days,0 days,,552,616,0,8,iPhone,15,30,22,30,,,Strongly disagree,Strongly disagree,Strongly disagree,...,,5,1,8,strongly agree,31,25,46,35,17,2,1,4,9,8,7,3,6,5,In imperial units?,,829317
2023-10-11 20:18:44,2023-10-11 20:53:53,IP Address,148.88.245.238,100,2109,True,2023-10-11 20:53:54,R_3lzt5VfXwIZ9yQ3,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,165,The oldest of my siblings,Europe (not UK),,,6,Average,A little above the average,28000,391,Strongly disagree,receive £100 for sure,lose £100 for sure,77,Several days,More than half the days,More than half the days,More than half the days,Several days,Not at all,Several days,6 seconds,5 seconds,10 seconds,0 days,7 days,0 days,7 days,4 days,5 days,0 days,,447,478,,,iPhone,4,30,4,45,,,...,...,...,...,...,3,8,8,strongly agree,46,67,41,66,33,4,2,8,7,9,5,1,3,6,in imperial units alongside a metric equivalent?,,830814
2023-10-11 21:15:46,2023-10-11 21:26:56,IP Address,148.88.245.91,100,670,True,2023-10-11 21:26:57,R_26nEMPTqKKWH8zW,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,165,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,6,Average,Average,30000,350,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,70,Several days,Several days,Several days,Several days,Several days,Several days,More than half the days,6,4,8,7 days,7 days,1 day,7 days,7 days,3 days,0 days,200,800,800,5,20,iPhone,6,0,7,0,,,...,...,...,...,,7,7,7,strongly agree,30,30,20,40,10,2,1,3,6,8,7,5,4,9,in imperial units alongside a metric equivalent?,,304212
2023-10-11 23:42:09,2023-10-11 23:53:20,IP Address,148.88.245.174,100,670,True,2023-10-11 23:53:21,R_22Llbm9GgqBVWTg,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,May,Male,183,The youngest of my siblings,UK,"South West, England",GCSE grade A-C,4,Average,A little above the average,30000,185,Agree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,8,Several days,Not at all,Several days,Several days,Not at all,Several days,Several days,"green, blue, yellow, green, blue, red, green, blue, red, green","red, yellow, green, blue, red, blue, yellow, green, blue, red","yellow, green, blue, red, green, yellow, blurred, green, yellow",0 days,7 days,0 days,0 days,7 days,7 days,0 days,,350,750,,,iPhone,8,0,5,30,,,...,...,...,...,...,8,3,5,strongly disagreee,20,50,24,19,3,5,2,9,7,8,3,6,4,1,in imperial units alongside a metric equivalent?,,734527
2023-10-11 14:26:19,2023-10-12 10:16:53,IP Address,148.88.245.188,100,71433,True,2023-10-12 10:16:54,R_CdWBusWSV0OXnHP,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,164,A middle child (I had older and younger siblings),UK,"North East, England",GCSE grade A-C,18,Average,A little above the average,30000,200,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,76,Several days,Not at all,Several days,Not at all,Several days,Several days,Not at all,5.23s,3.20s,5.82s,0 days,7 days,3 days,7 days,7 days,1 day,0 days,,549,1147,0,0,iPhone,5,0,4,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,6,6,2,strongly agree,67,42,31,11,19,6,1,2,4,3,5,8,9,7,In imperial units?,,777122
2023-10-12 10:54:33,2023-10-12 11:10:00,IP Address,148.88.245.130,100,926,True,2023-10-12 11:10:01,R_3psTUgwpNaiGYEm,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,October,Female,178,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,3,Average,A little above the average,30000,500,Strongly disagree,receive £100 for sure,lose £100 for sure,75,More than half the days,More than half the days,More than half the days,Several days,Several days,More than half the days,Nearly every day,5.28,2.91,5.99,0 days,7 days,0 days,4 days,7 days,5 days,0 days,,447,302,,,Android,5,0,,,4,15,...,..,..,Strongly disagree,,5,7,8,strongly agree,29,29,41,6,3,3,4,9,5,1,2,6,7,8,in imperial units alongside a metric equivalent?,,392820
2023-10-12 11:31:42,2023-10-12 11:49:47,IP Address,148.88.245.238,100,1084,True,2023-10-12 11:49:48,R_sjSTw42k5FJXLvH,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,December,Female,163,An only child,UK,"North West, England",GCSE grade A-C,8,A little below average,Average,30000,500,Agree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,lose £100 for sure,80,Several days,Not at all,Not at all,Several days,Not at all,Not at all,Several days,7 seconds,6 seconds,9 seconds,0 days,5 days,0 days,7 days,7 days,3 days,0 days,,302,219,,,iPhone,5,30,4,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,9,7,8,strongly agree,40,30,20,15,10,,,,,,,,,,in imperial units alongside a metric equivalent?,,417049
2023-10-11 14:29:16,2023-10-12 12:00:11,IP Address,148.88.245.111,100,77455,True,2023-10-12 12:00:12,R_2Tog8cFZGlYtZuq,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,173,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,6,A little below average,Average,28000,365,Agree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,74,Several days,Several days,Several days,More than half the days,Not at all,Nearly every day,Not at all,6,3,10,1 day,7 days,1 day,7 days,7 days,2 days,0 days,1,506,387,16,42,iPhone,8,0,8,30,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly agree,9,3,8,strongly agree,60,20,56,35,24,3,1,5,8,9,2,6,4,7,in imperial units alongside a metric equivalent?,,746157
2023-10-12 12:33:24,2023-10-12 12:46:54,IP Address,148.88.245.136,100,809,True,2023-10-12 12:46:55,R_1n2uq7PuZfEvs4W,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,19,September,Female,162,The youngest of my siblings,UK,"North West, England",Other (not listed),13,Average,A little below average,37000,140,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,85,Nearly every day,Nearly every day,Several days,Several days,Not at all,Not at all,More than half the days,6,4,7,1 day,7 days,6 days,7 days,4 days,7 days,2 days,32,676,280,29,150,iPhone,5,30,3,0,,,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,,8,6,9,strongly agree,44,13,33,34,2,3,5,4,6,1,2,7,9,8,in imperial units alongside a metric equivalent?,,941790
2023-10-12 12:33:09,2023-10-12 12:47:51,IP Address,148.88.245.183,100,881,True,2023-10-12 12:47:52,R_21iBy3UOfcnkecE,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,March,Female,162,The youngest of my siblings,UK,"North West, England",GCSE grade A-C,12,A little above the average,A little above the average,30000,475,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,63,More than half the days,More than half the days,More than half the days,More than half the days,Several days,More than half the days,Several days,3,4,5,7 days,7 days,0 days,7 days,7 days,4 days,0 days,243,803,1324,,,iPhone,6,30,6,15,,,...,...,..,...,...,2,3,3,strongly agree,45,25,45,30,18,4,2,5,3,6,7,8,1,9,in imperial units alongside a metric equivalent?,,397416
2023-10-12 12:32:42,2023-10-12 12:48:08,IP Address,148.88.245.170,100,925,True,2023-10-12 12:48:08,R_1Fh1rK3gy5fkLGf,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,170,The oldest of my siblings,Europe (not UK),,,15,A little above the average,A little above the average,35000,750,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,60,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Nearly every day,Not at all,Nearly every day,6,4,9,1 day,7 days,5 days,7 days,7 days,6 days,0 days,0,610,895,0,10,iPhone,5,45,5,45,,,...,...,...,..,...,3,0,1,strongly disagreee,40,51,57,40,16,3,1,2,4,9,6,5,7,8,in imperial units alongside a metric equivalent?,,400827
2023-10-12 12:32:37,2023-10-12 12:50:26,IP Address,148.88.245.128,100,1069,True,2023-10-12 12:50:27,R_2nKbuG9yqtNk74t,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,October,Female,167,The youngest of my siblings,UK,"North West, England",A-Level Grade A* / A,2,A little above the average,Average,25000,150,Disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,90,Several days,Several days,Several days,Several days,Several days,More than half the days,Several days,4.33,3.38,4.29,0 days,7 days,7 days,5 days,7 days,3 days,0 days,,351,479,315,485,iPhone,5,0,4,30,,,..,..,..,..,..,4,3,6,strongly agree,50,20,20,30,10,2,1,3,9,8,7,5,4,6,In imperial units?,,286983
2023-10-12 12:32:31,2023-10-12 12:55:28,IP Address,148.88.245.219,100,1377,True,2023-10-12 12:55:29,R_1LzJ4D1bzFcWTxA,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,June,Male,183,An only child,UK,"South East, England (inc. London)",A-Level Grade B / C,4,A little above the average,Average,25000,250,Disagree,receive £100 for sure,lose £100 for sure,80,More than half the days,More than half the days,Several days,Not at all,Several days,Several days,More than half the days,5.04,4.50,9.35,7 days,5 days,2 days,1 day,0 days,7 days,2 days,51,38,47,1,66,Android,8,0,,,5,30,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,Strongly disagree,4,2,4,strongly agree,30,20,30,50,10,1,3,4,5,6,7,2,8,9,in imperial units alongside a metric equivalent?,,859112
2023-10-12 12:32:32,2023-10-12 12:55:34,IP Address,148.88.245.158,100,1381,True,2023-10-12 12:55:34,R_31vJKxrizz4wuJo,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,March,Male,182,A middle child (I had older and younger siblings),UK,Wales,GCSE grade A-C,4,Average,A little above the average,27500,200,Strongly disagree,receive £100 for sure,lose £100 for sure,75,Several days,More than half the days,Nearly every day,More than half the days,Nearly every day,Several days,More than half the days,4.59,3.04,8.45,0 days,5 days,7 days,4 days,7 days,6 days,1 day,,58,50,21,157,iPhone,6,15,7,0,,,Strongly disagree,...,...,..,,7,2,3,strongly agree,18,13,33,27,2,3,1,6,7,4,2,5,9,8,in imperial units alongside a metric equivalent?,,325896
2023-10-12 12:59:49,2023-10-12 13:18:31,IP Address,148.88.245.154,100,1121,True,2023-10-12 13:18:31,R_1OMIAYRAkH1S4gT,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,August,Female,178,The oldest of my siblings,UK,"South East, England (inc. London)",A-Level Grade B / C,9,Average,A little above the average,30000,400,Strongly disagree,receive £100 for sure,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,90,Several days,Several days,Several days,Not at all,Not at all,Not at all,Not at all,5,3,7,0 days,7 days,0 days,7 days,7 days,7 days,0 days,,271,409,,,iPhone,8,30,9,45,,,..,..,..,..,...,7,6,5,strongly agree,47,24,56,41,11,6,1,3,9,7,2,4,8,5,in imperial units alongside a metric equivalent?,,550845
2023-10-12 13:06:04,2023-10-12 13:21:27,IP Address,148.88.245.247,100,923,True,2023-10-12 13:21:28,R_1pF4SS4tVfV2K6v,,,,,54.0479,-2.7977,anonymous,EN,Yes,Yes,Yes,Yes,Yes,18,July,Female,155,The oldest of my siblings,UK,"North East, England",A-Level Grade B / C,6,A little above the average,Average,22000,115,Disagree,take the gamble of a 50% chance to gain £200 and a 50% chance to gain nothing,take a gamble of a 50% chance to lose nothing and a 50% chance to lose £200,60,More than half the days,More than half the days,More than half the days,Nearly every day,Not at all,Not at all,Not at all,7.5,4,10,2 days,7 days,0 days,7 days,7 days,3 days,0 days,10,88,75,,,iPhone,4,15,3,30,,,..,Strongly disagree,..,Strongly disagree,,7,6,8,strongly disagreee,45,25,20,30,11,8,1,5,7,9,6,4,2,3,In imperial units?,,188102
