pID,condition,time,avg_time
68,compatible,4.24,5.89
68,incompatible,8.19,5.89
69,control,6,6.33
69,compatible,5,6.33
69,incompatible,8,6.33
70,control,6,6.33
70,compatible,5,6.33
70,incompatible,8,6.33
71,control,5.38,7.28
71,compatible,3.67,7.28
71,incompatible,12.8,7.28
72,control,7,6.33
72,compatible,5,6.33
72,incompatible,7,6.33
73,control,5.14,4.35
73,compatible,3.64,4.35
73,incompatible,4.26,4.35
74,control,4.33,3.81
74,compatible,3.56,3.81
74,incompatible,3.55,3.81
75,control,5.59,6.16
75,compatible,6.23,6.16
75,incompatible,6.67,6.16
76,control,6.04,5.55
76,compatible,4.03,5.55
76,incompatible,6.57,5.55
77,control,8,8
77,compatible,5,8
77,incompatible,11,8
78,control,11,11.27
78,compatible,10,11.27
78,incompatible,12.82,11.27
79,control,5.83,5.95
79,compatible,5.41,5.95
79,incompatible,6.61,5.95
80,control,9,8
80,compatible,9,8
80,incompatible,6,8
81,control,3,3.33
81,compatible,2,3.33
81,incompatible,5,3.33
82,control,4.05,6.02
82,compatible,4.04,6.02
82,incompatible,9.98,6.02
83,control,4.8,5.53
83,compatible,3.41,5.53
83,incompatible,8.38,5.53
84,control,6.82,5.95
84,compatible,4.31,5.95
84,incompatible,6.71,5.95
85,control,5.74,5.31
85,compatible,3.88,5.31
85,incompatible,6.31,5.31
86,control,6,6
86,compatible,4,6
86,incompatible,8,6
87,control,6,6
87,compatible,5,6
87,incompatible,7,6
88,control,4,4
88,compatible,2,4
88,incompatible,6,4
89,control,6,5
89,compatible,3,5
89,incompatible,6,5
90,control,5,5.33
90,compatible,5,5.33
90,incompatible,6,5.33
91,control,6,6.67
91,compatible,5,6.67
91,incompatible,9,6.67
92,control,4,4
92,compatible,3,4
92,incompatible,5,4
93,control,6,7
93,compatible,7,7
93,incompatible,8,7
94,control,5,6.33
94,compatible,6,6.33
94,incompatible,8,6.33
95,control,8,9
95,compatible,9,9
95,incompatible,10,9
96,control,5.8,7.4
96,compatible,5.2,7.4
96,incompatible,11.2,7.4
97,control,5.75,5.74
97,compatible,4.17,5.74
97,incompatible,7.3,5.74
98,control,7,5.67
98,compatible,4,5.67
98,incompatible,6,5.67
99,control,21,11.33
99,compatible,5,11.33
99,incompatible,8,11.33
100,control,5,6.67
100,compatible,6,6.67
100,incompatible,9,6.67
101,control,5.7,4.94
101,compatible,3.43,4.94
101,incompatible,5.7,4.94
102,control,7.85,7.82
102,compatible,6.02,7.82
102,incompatible,9.59,7.82
103,control,6,6.67
103,compatible,4,6.67
103,incompatible,10,6.67
104,control,5,5
104,compatible,3,5
104,incompatible,7,5
105,control,7.3,6.38
105,compatible,4.65,6.38
105,incompatible,7.18,6.38
106,control,7,6.33
106,compatible,5,6.33
106,incompatible,7,6.33
107,control,6.36,5.18
107,compatible,3.24,5.18
107,incompatible,5.94,5.18
108,control,3.78,3.95
108,compatible,3.26,3.95
108,incompatible,4.81,3.95
109,control,6.91,5.74
109,compatible,4.41,5.74
109,incompatible,5.91,5.74
110,control,4.56,4.25
110,compatible,3.63,4.25
110,incompatible,4.55,4.25
111,control,11,8.33
111,compatible,4,8.33
111,incompatible,10,8.33
112,control,6.33,7.23
112,compatible,8.99,7.23
112,incompatible,6.37,7.23
113,control,5,4.33
113,compatible,3,4.33
113,incompatible,5,4.33
114,control,20,25
114,compatible,25,25
114,incompatible,30,25
115,control,6,6
115,compatible,5,6
115,incompatible,7,6
116,control,5,5
116,compatible,4,5
116,incompatible,6,5
